Symbol,Price,Price Change,,,,,,,,,
AA,8.2,0,17184400,8.769B,0.229,35.81,0.66,0.37,2.173B,8.4766,8.609
AXP,74.76,0,5438870,82.134B,3.963,18.86,4.26,2.76,0,71.053,63.6667
BA,98.49,0,5036270,74.722B,5.327,18.49,10.01,0.92,7.795B,94.8483,82.4419
BAC,13.09,0,142456992,141.1B,0.32,40.91,0.65,1.81,0,12.838,11.8409
CAT,84.42,0,7016660,55.505B,7.418,11.38,3.04,0.88,10.423B,85.9403,89.2179
CSCO,24.32,0,34975600,130.0B,1.8,13.51,2.28,2.71,13.230B,21.19,19.9894
CVX,121.57,0,6380040,235.7B,13.232,9.19,1.68,1.08,46.203B,122.136,115.841
DD,54.61,0,6564690,50.267B,4.925,11.09,4.18,1.43,6.087B,54.2266,48.7076
DIS,63.12,0,8166400,113.7B,3.301,19.12,2.7,2.6,11.353B,64.3836,56.3445
GE,23.32,0,39360200,241.1B,1.35,17.27,1.95,1.66,28.142B,22.8803,22.4181
HD,75.1,0,6920520,109.7B,3.15,23.84,6.69,1.44,9.990B,75.9423,68.9508
HPQ,24.19,0,22521300,46.808B,-6.852,N/A,1.99,0.41,13.916B,21.6639,18.6148
IBM,202.74,0,4307820,224.8B,14.501,13.98,11.77,2.18,26.399B,202.903,201.315
INTC,24.7,0,44316000,122.8B,2.001,12.34,2.39,2.32,21.148B,21.6489,21.166
JNJ,83.68,0,9888540,235.0B,3.682,22.73,3.51,3.43,21.741B,85.7177,77.6352
JPM,53.03,0,24147700,200.9B,5.602,9.47,1.02,2.19,0,50.5331,47.4737
KO,40.65,0,14200200,181.0B,1.911,21.27,5.57,3.78,13.148B,42.1281,39.2342
MCD,96.42,0,5115680,96.666B,5.392,17.88,6.35,3.5,9.839B,100.623,95.5478
MMM,108.59,0,2807340,74.948B,6.34,17.13,4.14,2.49,7.806B,108.605,101.84
MRK,48.73,0,18354600,147.1B,1.96,24.86,2.77,3.18,16.365B,46.8503,44.2846
MSFT,34.78,0,49855600,290.5B,1.938,17.95,3.79,3.82,30.493B,28.6342,27.9396
PFE,27.48,0,37193800,194.9B,2.089,13.15,2.37,3.38,25.335B,29.2297,27.5473
PG,76.66,0,9449100,210.1B,4.463,17.18,3.18,2.51,19.700B,78.7754,74.907
T,35.26,0,25275200,189.7B,1.293,27.27,2.17,1.49,28.818B,37.0725,35.7074
TRV,82.24,0,1947490,30.957B,6.586,12.49,1.21,1.21,4.513B,85.1308,79.7416
UNH,61.75,0,5992070,62.985B,5.132,12.03,1.97,0.55,10.013B,61.385,57.0026
UTX,93.01,0,3297860,85.504B,6.678,13.93,3.26,1.43,10.052B,94.1489,89.1739
VZ,48.3,0,12995800,138.2B,0.399,121.05,4.15,1.18,31.521B,51.7822,47.0965
WMT,75.25,0,7418580,248.4B,5.075,14.83,3.54,0.53,36.459B,77.7626,73.0421
XOM,89.65,0,13151000,398.6B,9.83,9.12,2.39,0.96,71.864B,90.1617,89.2324
AAPL,445.11,0,17939600,417.8B,41.896,10.62,3.09,2.47,57.381B,431.59,505.657
AMD,3.91,0,27123400,2.794B,-0.995,N/A,6.73,0.57,-170.0M,3.5017,3.1414
AMZN,267.17,0,3442660,121.6B,-0.192,N/A,14.42,1.9,2.710B,264.631,255.814
ATVI,14.3,0,8606650,15.981B,1.075,13.3,1.38,3.19,1.670B,14.5366,12.421
CMG,353.03,0,497142,10.912B,9.228,38.26,8.48,3.87,565.8M,365.011,350.198
COST,109.17,0,2032310,47.651B,4.623,23.61,4.55,0.45,3.991B,104.607,100.956
DAL,17.56,0,13706500,14.891B,1.048,16.76,N/A,0.41,4.062B,17.5749,16.8805
DELL,13.43,0,32552600,23.476B,1.058,12.69,2.19,0.41,3.711B,14.138,11.9231
FB,22.899,0,45116100,55.368B,0.046,497.8,4.67,10.09,1.310B,26.6331,26.1612
GOOG,859.7,0,2320560,285.2B,33.422,25.72,3.77,5.33,16.813B,805.294,744.272
HMC,36.79,0,578934,66.307B,2.589,14.21,1.04,0.53,14.426B,39.9136,37.7497
LNKD,163.49,0,2308510,18.043B,0.258,633.68,18.17,16.28,149.5M,178.874,177.656
LUV,13.63,0,7446560,9.845B,0.512,26.62,1.41,0.57,1.707B,13.8926,11.9943
NVDA,14.16,0,10678000,8.183B,0.931,15.21,1.7,1.9,889.7M,12.6326,12.4229
RTN,65.5,0,1853210,21.262B,5.702,11.49,2.56,0.87,3.340B,63.1408,58.3466
S,7.2,0,56305100,21.730B,-1.366,N/A,3.35,0.61,5.315B,7.2217,6.8368
STX,43.69,0,5713620,15.665B,6.303,6.93,4.74,1.02,3.590B,35.1666,31.7673
TGT,70.17,0,4461850,45.028B,4.256,16.49,2.72,0.62,7.643B,69.9091,65.2115
TM,114.87,0,671938,181.9B,7.72,14.88,1.18,0.65,30.827B,118.688,102.946
V,177.22,0,3081590,115.2B,3.564,49.73,4.29,10.38,7.042B,175.275,161.616
WDC,62.81,0,2978300,14.847B,7.931,7.92,1.77,0.91,3.836B,49.9369,43.0585
YELP,28.2,0,1416650,1.817B,-0.227,N/A,10.96,11.63,-4.5M,28.716,23.4061
YHOO,25.75,0,19962600,27.878B,3.446,7.47,1.98,5.68,1.327B,23.268,20.0919
